FID,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,fips,LaborForce_CurrentMonth,LaborForce_01Month,LaborForce_02Month,LaborForce_03Month,LaborForce_04Month,LaborForce_05Month,LaborForce_06Month,LaborForce_07Month,LaborForce_08Month,LaborForce_09Month,LaborForce_10Month,LaborForce_11Month,LaborForce_12Month,LaborForce_13Month,Employed_CurrentMonth,Employed_01Month,Employed_02Month,Employed_03Month,Employed_04Month,Employed_05Month,Employed_06Month,Employed_07Month,Employed_08Month,Employed_09Month,Employed_10Month,Employed_11Month,Employed_12Month,Employed_13Month,Unemployed_CurrentMonth,Unemployed_01Month,Unemployed_02Month,Unemployed_03Month,Unemployed_04Month,Unemployed_05Month,Unemployed_06Month,Unemployed_07Month,Unemployed_08Month,Unemployed_09Month,Unemployed_10Month,Unemployed_11Month,Unemployed_12Month,Unemployed_13Month,PctUnemployed_CurrentMonth,PctUnemployed_01Month,PctUnemployed_02Month,PctUnemployed_03Month,PctUnemployed_04Month,PctUnemployed_05Month,PctUnemployed_06Month,PctUnemployed_07Month,PctUnemployed_08Month,PctUnemployed_09Month,PctUnemployed_10Month,PctUnemployed_11Month,PctUnemployed_12Month,PctUnemployed_13Month,CurrentMonth,P01Month,P02Month,P03Month,P04Month,P05Month,P06Month,P07Month,P08Month,P09Month,P10Month,P11Month,P12Month,P13Month,SHAPE_Length,SHAPE_Area
387,00295762,12133,1514305977,81008176,Washington County,Florida,12133,9650,9609,9573,9598,9618,9655,9844,9803,9665,9735,9783,9604,9682,9580,9207,9274,9226,9320,9331,9361,9552,9474,9318,9387,9476,9295,9337,9209,443,335,347,278,287,294,292,329,347,348,307,309,345,371,4.6,3.5,3.6,2.9,3,3,3,3.4,3.6,3.6,3.1,3.2,3.6,3.9,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.3503451692082,0.150067758557544
388,00349113,13001,1316423275,10328007,Appling County,Georgia,13001,9736,9897,9933,9422,9446,9466,9455,9698,9179,8926,9159,9117,9144,9255,9306,9534,9556,9102,9179,9170,9119,9294,8714,8507,8803,8809,8807,8889,430,363,377,320,267,296,336,404,465,419,356,308,337,366,4.4,3.7,3.8,3.4,2.8,3.1,3.6,4.2,5.1,4.7,3.9,3.4,3.7,4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.05025233727981,0.12628488487294
389,00345784,13003,887636792,4701677,Atkinson County,Georgia,13003,5021,5148,5093,4672,4659,4673,4629,4696,4760,4548,4663,4702,4771,4790,4846,4994,4954,4546,4561,4557,4523,4568,4481,4415,4529,4575,4622,4628,175,154,139,126,98,116,106,128,279,133,134,127,149,162,3.5,3,2.7,2.7,2.1,2.5,2.3,2.7,5.9,2.9,2.9,2.7,3.1,3.4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.71340494108278,0.0845336905535798
390,00344784,13005,735776603,4499926,Bacon County,Georgia,13005,4987,5057,5069,4854,4904,4921,4892,4990,4905,4971,5082,5029,5019,4972,4767,4867,4880,4677,4744,4742,4748,4810,4698,4776,4910,4881,4849,4790,220,190,189,177,160,179,144,180,207,195,172,148,170,182,4.4,3.8,3.7,3.6,3.3,3.6,2.9,3.6,4.2,3.9,3.4,2.9,3.4,3.7,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.29597033072142,0.0703168247508735
391,00342832,13007,885665383,18598654,Baker County,Georgia,13007,1197,1229,1240,1154,1175,1166,1156,1180,1136,1107,1145,1164,1178,1168,1133,1172,1188,1107,1125,1117,1109,1123,1073,1050,1092,1113,1127,1110,64,57,52,47,50,49,47,57,63,57,53,51,51,58,5.3,4.6,4.2,4.1,4.3,4.2,4.1,4.8,5.5,5.1,4.6,4.4,4.3,5,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.86825114639751,0.0856893655309037
392,00345255,13009,670027542,24802965,Baldwin County,Georgia,13009,17730,17810,17600,17417,17498,17455,17489,17375,17080,17355,17393,17415,17407,17589,16737,17013,16795,16761,16829,16807,16840,16613,16263,16534,16714,16762,16629,16757,993,797,805,656,669,648,649,762,817,821,679,653,778,832,5.6,4.5,4.6,3.8,3.8,3.7,3.7,4.4,4.8,4.7,3.9,3.7,4.5,4.7,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.55801490241247,0.0670920675275625
393,00349230,13011,601022383,4593262,Banks County,Georgia,13011,9833,9899,9862,9702,9810,9720,9607,9612,9450,9484,9595,9613,9655,9528,9483,9617,9577,9483,9585,9480,9380,9338,9144,9185,9344,9365,9372,9251,350,282,285,219,225,240,227,274,306,299,251,248,283,277,3.6,2.8,2.9,2.3,2.3,2.5,2.4,2.9,3.2,3.2,2.6,2.6,2.9,2.9,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.04221639556805,0.0593426829538802
394,00356976,13013,417082276,4909657,Barrow County,Georgia,13013,40843,41097,40897,40948,40722,40762,40500,40210,40538,40336,40150,39906,40248,40266,39359,39891,39719,40004,39817,39722,39509,39005,39290,39071,39037,38857,39008,38980,1484,1206,1178,944,905,1040,991,1205,1248,1265,1113,1049,1240,1286,3.6,2.9,2.9,2.3,2.2,2.6,2.4,3,3.1,3.1,2.8,2.6,3.1,3.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.08500748636989,0.0411766232119712
395,00351604,13015,1188568909,27370203,Bartow County,Georgia,13015,51184,51489,51285,51416,50944,50979,50665,50363,50733,50366,50177,49873,50315,50354,49039,49717,49518,49804,49598,49475,49214,48612,48915,48621,48614,48409,48602,48556,2145,1772,1767,1612,1346,1504,1451,1751,1818,1745,1563,1464,1713,1798,4.2,3.4,3.4,3.1,2.6,3,2.9,3.5,3.6,3.5,3.1,2.9,3.4,3.6,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.52728081941185,0.118984684008428
396,00351606,13017,647812569,9803929,Ben Hill County,Georgia,13017,5396,5358,5328,5308,5309,5336,5379,5396,5413,5235,5288,5290,5383,5383,4995,5060,5021,5016,5048,5072,5122,5098,5040,4939,5015,5047,5090,5086,401,298,307,292,261,264,257,298,373,296,273,243,293,297,7.4,5.6,5.8,5.5,4.9,4.9,4.8,5.5,6.9,5.7,5.2,4.6,5.4,5.5,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.44137255982705,0.0626011641771755
397,00326638,13019,1174237672,11673014,Berrien County,Georgia,13019,7639,7710,7707,7499,7578,7566,7408,7425,7315,7336,7433,7477,7542,7528,7220,7365,7354,7167,7249,7217,7150,7130,6988,7049,7180,7236,7263,7213,419,345,353,332,329,349,258,295,327,287,253,241,279,315,5.5,4.5,4.6,4.4,4.3,4.6,3.5,4,4.5,3.9,3.4,3.2,3.7,4.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.93136841842,0.112320147167714
398,01672039,13021,645938978,14264344,Bibb County,Georgia,13021,68383,68555,68066,67979,67773,67645,67664,67576,68073,67942,67578,67306,68337,68546,65106,65858,65486,65861,65678,65249,65292,64667,65104,64974,65015,64891,65568,65637,3277,2697,2580,2118,2095,2396,2372,2909,2969,2968,2563,2415,2769,2909,4.8,3.9,3.8,3.1,3.1,3.5,3.5,4.3,4.4,4.4,3.8,3.6,4.1,4.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.40746016933626,0.063562919558755
399,00347451,13023,559106469,8441079,Bleckley County,Georgia,13023,4563,4579,4514,4445,4488,4488,4457,4470,4422,4570,4567,4585,4661,4624,4275,4353,4292,4275,4306,4284,4250,4236,4160,4293,4353,4385,4423,4371,288,226,222,170,182,204,207,234,262,277,214,200,238,253,6.3,4.9,4.9,3.8,4.1,4.5,4.6,5.2,5.9,6.1,4.7,4.4,5.1,5.5,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.12249008638617,0.054419918394284
400,00351605,13025,1147949245,10297607,Brantley County,Georgia,13025,7171,7252,7230,7150,7221,7239,7326,7441,7355,7239,7252,7240,7200,7201,6827,6967,6937,6896,6986,6975,7046,7119,7025,6927,6973,6980,6900,6867,344,285,293,254,235,264,280,322,330,312,279,260,300,334,4.8,3.9,4.1,3.6,3.3,3.6,3.8,4.3,4.5,4.3,3.8,3.6,4.2,4.6,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.07203329550864,0.109609851152273
401,00345518,13027,1277341272,11955761,Brooks County,Georgia,13027,6972,7131,7163,6848,6973,6944,6898,6977,6806,6711,6834,6884,6970,6911,6677,6870,6903,6647,6766,6723,6695,6725,6547,6458,6615,6679,6726,6660,295,261,260,201,207,221,203,252,259,253,219,205,244,251,4.2,3.7,3.6,2.9,3,3.2,2.9,3.6,3.8,3.8,3.2,3,3.5,3.6,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.15007751412328,0.121567107354911
402,00350496,13029,1133242924,43792586,Bryan County,Georgia,13029,18307,18388,18213,18160,18254,18278,18163,18270,18437,18352,18274,18216,18407,18404,17569,17812,17646,17703,17814,17759,17661,17680,17811,17751,17763,17732,17827,17800,738,576,567,457,440,519,502,590,626,601,511,484,580,604,4,3.1,3.1,2.5,2.4,2.8,2.8,3.2,3.4,3.3,2.8,2.7,3.2,3.3,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.74141685459372,0.111822768261647
403,00350302,13031,1750705245,32857751,Bulloch County,Georgia,13031,36998,36953,36430,36161,36610,36460,36477,36586,35876,35985,36749,36686,36949,37185,35046,35551,35049,35042,35546,35253,35257,35137,34219,34367,35482,35495,35532,35667,1952,1402,1381,1119,1064,1207,1220,1449,1657,1618,1267,1191,1417,1518,5.3,3.8,3.8,3.1,2.9,3.3,3.3,4,4.6,4.5,3.4,3.2,3.8,4.1,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.30057970853948,0.17094920905866
404,00347944,13033,2142010451,20584267,Burke County,Georgia,13033,9272,9320,9315,9120,9120,9124,9099,9125,9175,9100,9119,9193,9170,9135,8744,8853,8819,8738,8750,8733,8668,8631,8609,8605,8669,8779,8727,8672,528,467,496,382,370,391,431,494,566,495,450,414,443,463,5.7,5,5.3,4.2,4.1,4.3,4.7,5.4,6.2,5.4,4.9,4.5,4.8,5.1,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.54706717204363,0.208799116842365
405,00352295,13035,475754783,11269640,Butts County,Georgia,13035,10877,10941,10882,10870,10805,10813,10746,10686,10765,10723,10676,10608,10701,10734,10413,10559,10518,10575,10530,10502,10442,10315,10381,10321,10319,10274,10319,10309,464,382,364,295,275,311,304,371,384,402,357,334,382,425,4.3,3.5,3.3,2.7,2.5,2.9,2.8,3.5,3.6,3.7,3.3,3.1,3.6,4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.21259218142242,0.0471417736264369
406,00344074,13037,726191502,8271470,Calhoun County,Georgia,13037,2338,2383,2425,2257,2298,2275,2263,2279,2148,2087,2162,2214,2234,2236,2220,2300,2338,2192,2233,2199,2184,2193,2055,2005,2085,2136,2146,2149,118,83,87,65,65,76,79,86,93,82,77,78,88,87,5,3.5,3.6,2.9,2.8,3.3,3.5,3.8,4.3,3.9,3.6,3.5,3.9,3.9,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.50021656707345,0.0697466570773383
407,01671316,13039,1632512482,392476019,Camden County,Georgia,13039,20899,21032,20901,20829,20785,20857,20750,20841,20871,21040,20922,20732,20943,20986,19963,20245,20132,20206,20193,20163,20063,20031,20048,20210,20195,20049,20130,20130,936,787,769,623,592,694,687,810,823,830,727,683,813,856,4.5,3.7,3.7,3,2.8,3.3,3.3,3.9,3.9,3.9,3.5,3.3,3.9,4.1,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.35871380187648,0.167454098840023
408,00342852,13043,629520839,15018189,Candler County,Georgia,13043,5655,5716,5713,5569,5596,5620,5635,5614,5471,5467,5559,5453,5525,5505,5444,5561,5554,5401,5475,5470,5489,5446,5258,5298,5412,5311,5358,5332,211,155,159,168,121,150,146,168,213,169,147,142,167,173,3.7,2.7,2.8,3,2.2,2.7,2.6,3,3.9,3.1,2.6,2.6,3,3.1,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.05519757571973,0.0617815044416399
409,00326650,13045,1292475864,12301430,Carroll County,Georgia,13045,55995,56277,55925,55806,55619,55681,55450,55114,55482,55161,54840,54521,54983,55021,53432,54174,53953,54244,54095,53972,53777,53131,53373,53001,53017,52824,52991,52934,2563,2103,1972,1562,1524,1709,1673,1983,2109,2160,1823,1697,1992,2087,4.6,3.7,3.5,2.8,2.7,3.1,3,3.6,3.8,3.9,3.3,3.1,3.6,3.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.74793611874531,0.126718612331204
410,00353230,13047,419998844,771159,Catoosa County,Georgia,13047,34044,34225,33725,33665,33711,33738,33756,33415,33555,33496,33270,33380,33437,33491,32820,33175,32707,32764,32928,32845,32904,32356,32463,32407,32360,32389,32389,32362,1224,1050,1018,901,783,893,852,1059,1092,1089,910,991,1048,1129,3.6,3.1,3,2.7,2.3,2.6,2.5,3.2,3.3,3.3,2.7,3,3.1,3.4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.00731411261221,0.0414991383298698
411,00357747,13049,2020415647,5963237,Charlton County,Georgia,13049,4827,4894,4875,4801,4803,4809,4783,4829,4760,4747,4760,4741,4774,4796,4612,4710,4689,4655,4662,4648,4616,4619,4567,4545,4581,4576,4587,4595,215,184,186,146,141,161,167,210,193,202,179,165,187,201,4.5,3.8,3.8,3,2.9,3.3,3.5,4.3,4.1,4.3,3.8,3.5,3.9,4.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,3.09059402021231,0.190949368417338
412,01694477,13051,1121767063,509858591,Chatham County,Georgia,13051,139748,140365,138885,138786,139356,139417,138515,139499,140719,140415,139720,139101,140564,140654,133760,135554,134229,134914,135608,135191,134342,134404,135675,135352,135309,134970,135726,135562,5988,4811,4656,3872,3748,4226,4173,5095,5044,5063,4411,4131,4838,5092,4.3,3.4,3.4,2.8,2.7,3,3,3.7,3.6,3.6,3.2,3,3.4,3.6,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.33371320001599,0.122276066986155
413,00351012,13053,644226248,6276670,Chattahoochee County,Georgia,13053,2013,2023,2009,1984,1986,1990,1966,1977,1990,1975,1999,1994,2033,2025,1895,1933,1923,1912,1920,1912,1893,1883,1888,1888,1910,1912,1926,1918,118,90,86,72,66,78,73,94,102,87,89,82,107,107,5.9,4.4,4.3,3.6,3.3,3.9,3.7,4.8,5.1,4.4,4.5,4.1,5.3,5.3,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.43571023136636,0.062314987348613
414,00352213,13055,811512394,570806,Chattooga County,Georgia,13055,10329,10376,10320,11134,10126,10178,10097,10138,10169,10147,10155,10157,10268,10752,9744,9872,9822,9775,9789,9789,9750,9734,9701,9744,9811,9805,9877,9862,585,504,498,1359,337,389,347,404,468,403,344,352,391,890,5.7,4.9,4.8,12.2,3.3,3.8,3.4,4,4.6,4,3.4,3.5,3.8,8.3,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.29146026093836,0.0796868958822518
415,01685718,13057,1090600986,34467305,Cherokee County,Georgia,13057,137013,137887,137076,137554,136973,137120,136552,135478,136465,135665,135001,134227,135157,135233,132269,134021,133387,134474,134008,133722,133276,131540,132380,131531,131402,130840,131198,131114,4744,3866,3689,3080,2965,3398,3276,3938,4085,4134,3599,3387,3959,4119,3.5,2.8,2.7,2.2,2.2,2.5,2.4,2.9,3,3,2.7,2.5,2.9,3,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.52482015567049,0.110100627937195
416,01672699,13059,308784925,4688311,Clarke County,Georgia,13059,59400,59920,59317,59225,59528,59713,59053,58443,58613,58389,58755,59148,59254,59693,56639,57803,57259,57596,57894,57813,57175,56184,56221,55941,56782,57260,56997,57316,2761,2117,2058,1629,1634,1900,1878,2259,2392,2448,1973,1888,2257,2377,4.6,3.5,3.5,2.8,2.7,3.2,3.2,3.9,4.1,4.2,3.4,3.2,3.8,4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,0.9239614835887,0.0305728656302135
417,00344805,13061,506093883,56546975,Clay County,Georgia,13061,897,910,924,868,885,894,893,922,877,860,845,875,872,866,828,845,855,811,829,839,836,852,807,797,788,824,817,801,69,65,69,57,56,55,57,70,70,63,57,51,55,65,7.7,7.1,7.5,6.6,6.3,6.2,6.4,7.6,8,7.3,6.7,5.8,6.3,7.5,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.3307409350989,0.0534845499474746
418,01672399,13063,366946710,6972579,Clayton County,Georgia,13063,139906,140224,139442,139417,138659,138750,138102,137369,138658,137980,136902,135943,137181,137447,132369,134137,133537,134601,133901,133575,132810,131072,132154,131466,131296,130647,131171,131092,7537,6087,5905,4816,4758,5175,5292,6297,6504,6514,5606,5296,6010,6355,5.4,4.3,4.2,3.5,3.4,3.7,3.8,4.6,4.7,4.7,4.1,3.9,4.4,4.6,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.13563680666321,0.0362977602615236
419,00351285,13065,2110829176,23303279,Clinch County,Georgia,13065,2612,2642,2642,2508,2516,2513,2489,2531,2639,2711,2823,2822,2750,2744,2479,2539,2536,2420,2432,2424,2399,2416,2513,2587,2734,2735,2649,2627,133,103,106,88,84,89,90,115,126,124,89,87,101,117,5.1,3.9,4,3.5,3.3,3.5,3.6,4.5,4.8,4.6,3.2,3.1,3.7,4.3,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.20371902562977,0.201376721431732
420,01686112,13067,880052398,12376345,Cobb County,Georgia,13067,429520,431808,429391,430626,428712,429043,427185,424024,427191,424718,422650,420074,423129,423533,413181,418630,416642,420158,418510,417598,416004,410532,413401,410884,410393,408547,409755,409520,16339,13178,12749,10468,10202,11445,11181,13492,13790,13834,12257,11527,13374,14013,3.8,3.1,3,2.4,2.4,2.7,2.6,3.2,3.2,3.3,2.9,2.7,3.2,3.3,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.30339744592408,0.0870284442429825
421,00347456,13069,1533928847,26927255,Coffee County,Georgia,13069,19226,19289,19155,18949,18866,18887,18868,18706,18828,18610,18913,18799,18949,18946,18195,18488,18353,18142,18293,18264,18279,18025,17917,17872,18199,18132,18212,18141,1031,801,802,807,573,623,589,681,911,738,714,667,737,805,5.4,4.2,4.2,4.3,3,3.3,3.1,3.6,4.8,4,3.8,3.5,3.9,4.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,2.07541650280297,0.148254697133034
422,00343936,13071,1416818776,24869747,Colquitt County,Georgia,13071,21619,21989,22076,21063,21313,21494,21042,21503,21179,21018,21273,21387,21617,21510,20816,21297,21410,20496,20784,20881,20448,20789,20352,20290,20622,20768,20917,20776,803,692,666,567,529,613,594,714,827,728,651,619,700,734,3.7,3.1,3,2.7,2.5,2.9,2.8,3.3,3.9,3.5,3.1,2.9,3.2,3.4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.72722579782335,0.136421149131833
423,00348865,13073,751293211,45394065,Columbia County,Georgia,13073,75717,75894,75359,75115,75101,75310,75007,74812,75154,75153,74945,75637,75295,75075,72874,73555,73021,73255,73290,73227,72987,72346,72584,72629,72789,73582,72886,72556,2843,2339,2338,1860,1811,2083,2020,2466,2570,2524,2156,2055,2409,2519,3.8,3.1,3.1,2.5,2.4,2.8,2.7,3.3,3.4,3.4,2.9,2.7,3.2,3.4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.36217088053847,0.0773394150535042
424,00343878,13075,591606618,12386236,Cook County,Georgia,13075,8159,8219,8182,8013,8062,8053,8005,8032,7924,7854,7943,7934,8010,7984,7826,7932,7902,7747,7815,7798,7773,7741,7621,7567,7700,7699,7738,7702,333,287,280,266,247,255,232,291,303,287,243,235,272,282,4.1,3.5,3.4,3.3,3.1,3.2,2.9,3.6,3.8,3.7,3.1,3,3.4,3.5,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.36734624771403,0.0571330536784637
425,00326666,13077,1142012458,12689156,Coweta County,Georgia,13077,75403,75833,75465,75623,75185,75259,74816,74257,74960,74601,74148,73702,74252,74339,72598,73576,73252,73793,73460,73286,72918,71982,72502,72087,72023,71694,71959,71908,2805,2257,2213,1830,1725,1973,1898,2275,2458,2514,2125,2008,2293,2431,3.7,3,2.9,2.4,2.3,2.6,2.5,3.1,3.3,3.4,2.9,2.7,3.1,3.3,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.74873224295706,0.111852580513202
426,00342918,13079,841521988,3988980,Crawford County,Georgia,13079,5650,5691,5652,5600,5603,5596,5583,5585,5606,5567,5579,5559,5650,5652,5411,5488,5471,5442,5443,5406,5403,5373,5371,5347,5375,5380,5442,5439,239,203,181,158,160,190,180,212,235,220,204,179,208,213,4.2,3.6,3.2,2.8,2.9,3.4,3.2,3.8,4.2,4,3.7,3.2,3.7,3.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.68002145249473,0.0813215062589282
427,00351607,13081,706236812,21409235,Crisp County,Georgia,13081,9549,9654,9632,9382,9394,9441,9400,9393,9505,9488,9442,9470,9405,9438,9085,9264,9232,9073,9098,9079,9088,9011,9118,9099,9101,9111,9012,9028,464,390,400,309,296,362,312,382,387,389,341,359,393,410,4.9,4,4.2,3.3,3.2,3.8,3.3,4.1,4.1,4.1,3.6,3.8,4.2,4.3,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.19290408728852,0.0693877820861042
428,00347465,13083,450605307,467844,Dade County,Georgia,13083,8286,8345,8229,8166,8247,8259,8339,8296,8228,8172,8141,8170,8179,8187,7964,8059,7954,7935,8036,8024,8107,7993,7936,7872,7888,7924,7890,7877,322,286,275,231,211,235,232,303,292,300,253,246,289,310,3.9,3.4,3.3,2.8,2.6,2.8,2.8,3.7,3.5,3.7,3.1,3,3.5,3.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.02579021930779,0.044461810795066
429,00351312,13085,546042257,9272655,Dawson County,Georgia,13085,12420,12502,12452,12437,12407,12434,12401,12342,12366,12260,12243,12186,12277,12264,11976,12148,12102,12142,12141,12116,12105,11972,11981,11874,11894,11867,11891,11873,444,354,350,295,266,318,296,370,385,386,349,319,386,391,3.6,2.8,2.8,2.4,2.1,2.6,2.4,3,3.1,3.1,2.9,2.6,3.1,3.2,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.31054785331725,0.0544714380740942
430,00352234,13087,1546667779,67329698,Decatur County,Georgia,13087,11732,11912,11921,11444,11545,11484,11461,11513,11392,11307,11451,11636,11702,11697,11200,11466,11468,11076,11185,11082,11056,11037,10929,10824,11024,11213,11263,11227,532,446,453,368,360,402,405,476,463,483,427,423,439,470,4.5,3.7,3.8,3.2,3.1,3.5,3.5,4.1,4.1,4.3,3.7,3.6,3.8,4,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.74661054505119,0.152239505481504
431,01687424,13089,693420786,8881087,DeKalb County,Georgia,13089,404226,405645,403372,404537,402308,402686,400810,398021,401528,399254,397135,394376,397574,397903,386405,391458,389576,393076,391250,390376,388609,383397,386463,384310,383704,381841,383095,382914,17821,14187,13796,11461,11058,12310,12201,14624,15065,14944,13431,12535,14479,14989,4.4,3.5,3.4,2.8,2.7,3.1,3,3.7,3.8,3.7,3.4,3.2,3.6,3.8,March 2020 - Preliminary,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,1.24047077321445,0.0683539097130437
