Categories,Created,Description,Experience ID,Participant ID,Sources,Tag,Workshop,0,Categories-Access,Categories-Career,Categories-Compensation,Categories-Interactions,Categories-Learning,Categories-Life,Categories-Recognition,Categories-Respect,Categories-Skills,Sources-Customers,Sources-HR,Sources-Leadership,Sources-Manager,Sources-Peers,Sources-Policy,Sources-Reports
respect,6/10/2020 15:02,My pursuit of a reasonable work accommodation was initially mishandled by all levels of management in my current group. It has had a lasting and detrimental impact on my self-esteem and my feeling of acceptance at this organization. Issues with this same invisible disability have arose and been inappropriately handled two other times in my career at *company*. The trauma of those experiences is isolating and alienating.,379,59,"manager,leadership",,7,,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"respect,interactions",6/10/2020 15:02,"I am often spoken over/shouted down during meetings by certain colleagues. However, this does not occur with my male colleagues.",380,181,peers,,7,,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"career,respect",6/10/2020 15:02,"given the opportunity to voice my ideas/concerns, however, they are repeatedly ignored or pushed aside",381,110,leadership,,7,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
interactions,6/10/2020 15:02,Workplace interactions - Feeling of exclusion among attorneys.,382,77,"manager,leadership,peers",,7,,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
"career,recognition",6/10/2020 15:02,I have seen white males hired for senior positions without having an open job posting while highly talented females had to wait months to years to apply for a position that People Solutions kept insisting was not necessary or had enough responsibility to warrant the particular level.,383,101,"leadership,hr",,7,,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
respect,6/10/2020 15:02,My boss does not respect my opinion regarding team projects. She routinely  focuses her decisions for the entire time around the feedback of two of my colleagues.,384,103,manager,,7,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
recognition,6/10/2020 15:02,As a long tenured employee my accomplishments and the accomplishments of my team are not being publicly recognized while similar accomplishment of other teams that are comprised of younger and much more recently hired employees are.,385,155,"manager,leadership",,7,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
career,6/10/2020 15:03,"My department is one of the more racially diverse departments in the company. However, most of the diversity is at the lower pay grades. All of the executives are white males. All of the next line managers are white. While there is some racial diversity in the 48s and 49s, the majority are white.",386,95,"manager,leadership",,7,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
respect,6/10/2020 15:03,Respect - I have been in meetings where my manager talks over me or re-states what I have said.,387,77,manager,,7,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
compensation,6/10/2020 15:03,Have been consistently paid less than male counterparts at the same level.,389,187,"manager,peers",,7,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"respect,interactions",6/10/2020 15:03,I have worked with members of committees and other groups who have shown a lack of respect for *company* staff.,390,167,"leadership,peers",,7,,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
access,6/10/2020 15:03,Being dismissed and not heard in team meetings.,391,147,manager,,7,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"access,respect",6/10/2020 15:03,"Complaints by some are taken at face-value, without consideration or exploration of the other side of the story.",392,75,"manager,leadership,peers",,7,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
"access,compensation,life",6/10/2020 15:03,"One of the last Departments to permit working from home, 1/2 of the department is permitted one day a week, while the other half is permitted two days a week and has been for years. Several Departments permitted three days a week.",393,131,"leadership,policy",,7,,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
"access,career",6/10/2020 15:03,"Out of 100 officers, only 4 are African American. As a person of color, I don't feel top leadership values inclusion, making it difficult for mid-level managers to potentially advance.",394,109,leadership,,7,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"respect,interactions",6/10/2020 15:03,I am not always talked to respectfully or professionally by my director.,395,154,manager,,7,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"learning,compensation,career,recognition",6/10/2020 15:03,"Leaders assigning high profile projects (to the same individuals). These projects often become future awards/recognition. In turn, these are the individuals that would be considered first when limited promotion opportunities arise.",396,136,"manager,leadership",,7,,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0
"access,interactions",6/10/2020 15:03,"I've said a total of maybe two sentences in 8 hours of meetings with my peer group of roughly ten people, mostly women. Nobody asks, nobody cares. I don't really care, I guess - I'm a man and I generally prefer conversations with men anyways. We're all more comfortable talking with our own, broadly speaking - by sex and race and age and religion and politics, and really just about everything else. It's not a big deal - my Stoic ancestors would be ashamed I even mentioned this - but I would be remiss not to this, seeing as without this it wouldn't be regarded as existing.",397,96,peers,,7,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"compensation,career",6/10/2020 15:03,Compensation - I believe my race and gender contribute to my being underpaid. My work-life balance has suffered due to working in chronically understaffed with office with inadequate pay grades.,398,77,"leadership,policy,hr",,7,,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0
"career,recognition",6/10/2020 15:03,I don't feel that I am properly recognized for the achievements that I have made.,399,149,"manager,leadership",,7,,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
access,6/10/2020 15:04,"Projects have been reassigned to my younger, male colleagues with the explanation that ""I have so much on my plate.""",400,120,manager,,7,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
interactions,6/10/2020 15:04,I think sometimes my ideas are dismissed because I'm the youngest by almost 10 years and newest to the team.,401,93,peers,,7,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"respect,interactions",6/10/2020 15:04,"I am often belittled for my age and receive comments asking if I know what an encyclopedia is, etc.",402,67,peers,,7,,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
interactions,6/10/2020 15:04,I have noticed a lot of socializing between male managers and male staff. At times it is hard to get myself included as a woman,403,126,"manager,peers",,7,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
respect,6/10/2020 15:04,"I have had people make the same points I've made in meetings, but another person will be acknowledged for repeating what I said.",405,121,"manager,leadership",,7,,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"skills,learning",6/10/2020 15:04,"I have frequently given presentations at regional and national events.  My manager has conveyed to me that because I am not in management that this is no longer welcome.  I am not sure if this ""policy"" is being applied to my male colleagues.  In addition, if I had not been passed over for promotion in favor of a much less experienced male, this would not be an issue.",406,69,"manager,leadership",,7,,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
interactions,6/10/2020 15:04,"Despite training and ""everyone"" in the workplace understanding the cliches referred to when talking about women in authority, i am still referred to as ""aggressive"" rather than ""assertive"" or ""driven""as my male colleagues are referred to.  *company* is not comfortable with strong women managers is certain areas of the organization.",409,116,"manager,peers,reports",,7,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
"skills,learning",6/10/2020 15:04,"I post for positions but do not receive feedback from HR. 

In the past, I have posted for positions and the position was given to person(s) that I know for a fact were not the better candidate.",410,179,"hr,peers",,7,,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
respect,6/10/2020 15:04,"There are definitive cliques within my department. They tend to consist of the VP of the department and his buddies that he helped hire. One in particular, he would go to lunch with every day. Others, we knew he would talk to about the rest of the staff not in the clique. One day, during a staff meeting, a member of his clique was making a presentation. A chat message popped up on her screen from the VP. It was talking negatively about another staffer on our team (older, white male, gay) and his work. It had a very ugly tone and clearly, he had not discussed his concerns with the staffer first before he referenced him in the chat. It was awful and embarrassing for everyone on the call to know that our VP would talk about any member of his team in such a way. I really feel like older members of the team or those who are non-white are definitely not seen as valued and important assets.",411,189,leadership,,7,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"recognition,respect",6/10/2020 15:04,I feel that I am treated unfairly by management because I am an educated black woman who mostly speaks up when it is necessary. Most of my colored colleagues look towards me to speak up when we disagree or want to express something with management.,412,145,"manager,leadership",,7,,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
access,6/10/2020 15:04,Access and Participation - Feeling of exclusion from conversations by senior colleagues who are attorneys related to shared experience as attorneys.,413,77,"leadership,peers",,7,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
compensation,6/10/2020 15:04,Lack of equitable pay in comparison with other colleagues doing the same work on the same team. My salary was changed within a few days after I asked if I was being equitably paid but follow on discussions indicated that I still wasn't equitably paid but bonus would make up for the difference.,414,165,leadership,,7,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"access,career",6/10/2020 15:04,*company* does not hire enough Black women and Black men.,415,59,"leadership,policy,hr",,7,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
life,6/10/2020 15:04,"It is much better now with COVID, but I have always felt like I had to make excuses for being a parent and needing a more flexible schedule. They say you get more out of people when you are flexible as a manager and I live that as a manager, but have had peers and my own managers make me feel bad about taking off for my kids.  As a result I have neglected my children many times over the years because of a demanding job and it is a regret. I wish companies would practice what they preach. Don't just say you are flexible, actually promote things that allow staff to balance. 

I went to a diversity workshop very early in my career and non-parents were very angry that parents get all kinds of ""excuses"" to miss work.  I never forgot that message.  It has been difficult to move past that ever since I heard it loud and clear.",417,73,"manager,peers",,7,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"life,respect",6/10/2020 15:05,"One of the managers in my group consistently complains about Millennials and all the associated stereotypes.  I frequently feel like upper management refuses to consider work-life policy changes (ex.: WFH pre-COVID) because of the assumption that out all-millenial team will try to ""cheat the system"" by lying about hours and failing to complete work.  This is despite no evidence of this being an issue during department wide WFH testing periods.",418,104,"manager,leadership",,7,,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
"learning,respect",6/10/2020 15:05,"I volunteer for projects and attempt to take on additional responsibilities/ gain additional certifications but am denied this opportunity based on managements belief that it would be ""too"" much for me based on the fact I am a single mother.",419,122,manager,,7,,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
career,6/10/2020 15:05,Males have seemed to advance and be recognized for their work more than myself.,420,126,"manager,leadership",,7,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
respect,6/10/2020 15:05,"My boss did not have a one on one meeting with me for one year. However, she did continue to have biweekly meetings with all of my colleagues.",421,103,manager,,7,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
career,6/10/2020 15:05,*company* often hires new managers with no *company* experience instead of promoting existing employees with extensive experience including myself.,422,155,"manager,leadership",,7,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"learning,career",6/10/2020 15:05,I have applied for many internal positions for which I am qualified but did not even get an interview. I was told that I did not have robust experience yet the individual hired did not have experience either.,423,154,hr,,7,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"respect,interactions",6/10/2020 15:06,"During Interactions with certain male Enforcement colleagues are demeaning in that they outright ignore the discussion if the presenter is a woman (i.e., shopping on Amazon instead of participating).",424,181,"leadership,peers",,7,,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"respect,interactions",6/10/2020 15:06,"A former manager would reduce me to being emotional and say I was ""mad at him"" if ever I did not agree with him on a work-related topic.",425,67,leadership,,7,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"respect,interactions",6/10/2020 15:06,My manager often times acts like they know better than anyone even when it is not the case and will feel defensive when I try to help.,426,46,manager,,7,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"access,skills,learning",6/10/2020 15:06,It has been difficult to get more involved in certain projects because the same people are selected or considered the SMEs on a topic.,427,121,"manager,leadership",,7,,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"compensation,career",6/10/2020 15:06,i've noticed other females who went to pregnancy leave were treated a lot more cautiously to prevent any potential discrimination. They benefited more than a single female,429,126,"manager,leadership",,7,,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
recognition,6/10/2020 15:07,"Even when I have delivered total successes to the company, I have received negative performance reviews. They always center around me needing to be a better listener.  I cannot help but think this is a result of being a woman who is outspoken and confident. Women who are direct are seen as  bad listeners and ""talk too much.""  Men who are direct and outspoken are seen as leaders.",430,73,"manager,leadership,peers",,7,,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
"skills,compensation,career,recognition,respect",6/10/2020 15:07,"There is no opportunity for promotion in my current role. Even though my performance has been rated as distinguished, there is no opportunity for promotion. On a regular basis I perform work that is beyond the scope of my position, but not recognized or compensated for it.",431,111,"leadership,policy,hr",,7,,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0
career,6/10/2020 15:07,There are times when more qualified candidates are overlooked for a position to promote someone else.,432,149,leadership,,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"recognition,respect,interactions",6/10/2020 15:07,"Even when I have delivered total successes to the company, I have received negative performance reviews. They always center around me needing to be a better listener. I cannot help but think this is a result of being a woman who is outspoken and confident. Women who are direct are seen as bad listeners and ""talk too much."" Men who are direct and outspoken are seen as leaders.",433,73,"manager,peers",,7,,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
"recognition,respect,interactions",6/10/2020 15:08,I am consistently micro-managed by my supervisor even though we have the same level of experience within the unit. I have more experience within the organization and advance degrees.,434,145,manager,,7,,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
"recognition,respect",6/10/2020 15:08,I have been over looked for BOND awards and other recognition for my individual contributions several times.,435,103,"manager,leadership",,7,,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
"access,respect",6/10/2020 15:08,Not invited to meetings outside of the team and if allowed will be coached on where to sit and what to say - most times I am encouraged to listen only. No introduction in some of the meetings.,436,165,manager,,7,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
life,6/10/2020 15:08,"There are members of my team that are not married and have no children who are constantly on their emails. I am married with two young children, including one who has a disability. She is not my supervisor but in a position of authority and she makes what I would consider unreasonable demands in terms of deadlines and work product. She will often create a sense of urgency when there is none. There's a lot of hurry up and wait. She will also assign administrative work to me that's something simple that she could just as easily do. It's stressful and inconsiderate of the work-life balance that all employees deserve.",438,189,leadership,,7,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"respect,interactions",6/10/2020 15:08,"A manager once told me to ""hush"" during a meeting. I was asking a pointed question that another colleague ended up asking 20 minutes later.  It was demoralizing and rude.",439,89,manager,,7,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"access,learning,career",6/10/2020 15:10,"I have felt opportunities within the organization are vast, however they are not equally available to everyone. It's basically up to your manager to seek out opportunities for you to help with growth and advancement. If my manager is not interested in advancing within the organization, then he is less inclined to take the time to seek out opportunities on my behalf even when I consistently ask for more.",440,81,manager,,7,,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"recognition,respect,interactions",6/10/2020 15:10,I had to quit a supervisor position because my director wanted me to lie on one of my reports evaluation concerning the report's performance. I refused. This supervisor started to bully me as well as my reports.,441,145,"manager,leadership",,7,,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
"life,respect",6/10/2020 15:10,"When a parent passed away, I was sent an arrangement (nice thought) but it had symbols of a differing religion on it.  I think that something that didn't specifically indicate a religion may have been better as this made me feel as though it was just something done automatically and not because anybody actually cared.",442,190,leadership,,7,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"access,compensation,career,respect,interactions",6/10/2020 15:10,"The company is taking steps in the right direction in terms of racial diversity and inclusion - raising awareness, specific training etc.  This is needed in the area of gender diversity and inclusion too.",443,182,"leadership,hr",,7,,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0
"access,recognition",6/10/2020 15:11,"*company* does present as a diverse and inclusive organization but it does not reflect those values in its most exclusive groups, such as sought after specialty group. I have discussed this with my direct manager who said she agrees. I am dedicated to this company and very interested in its success. With that said, *company* could benefit from hiring and allowing to participate at its top ranks, a variety of underrepresented groups and/or minority groups, rather than a having a token person to keep up appearances.",444,59,"leadership,hr",,7,,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
interactions,6/10/2020 15:11,There are too many labels being placed on people - I believe that by creating separate diverse groups - you are separating individuals and doesn't always provide for an inclusive group.,445,187,peers,,7,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"respect,interactions",6/10/2020 15:13,I have an invisible disability but I have never been willing to share this or participate in any of the disability networks because I am afraid it well be used against me.,446,190,leadership,,7,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"skills,learning,compensation,career",6/10/2020 15:13,My manager wanted to promote me but his manager does not like him. Their relationship effects the entire staff and suppresses our workflow.,447,179,"manager,leadership",,7,,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0
"respect,other",6/10/2020 15:14,"I had someone within the company refer to a country outside of U.S. as my home, because of how I look.",448,81,peers,,7,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"skills,career,respect",6/10/2020 15:14,"Being pushed toward a management position. Voicing over and over that I do not want to manage others, but feeling like I'm not being heard.",449,131,"manager,leadership",,7,,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
other,6/10/2020 15:16,"Some may not find this offensive, however I don't like it when males have me walk into an elevator or through the door first because I'm female. I want to be treated as an equal.",450,81,peers,,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"compensation,career",6/10/2020 15:16,I have similar performance goals and work responsibilities with my male colleague however we have different titles and pay grades.,451,165,manager,,7,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"recognition,respect",6/10/2020 15:17,I am not given the support of confidence by management.,452,145,"manager,leadership",,7,,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
"access,skills",6/10/2020 14:46,I am not given opportunities to voice my opinions.,92,103,"manager,leadership,peers",,7,,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
"skills,recognition,respect",6/10/2020 15:18,Male managers are able to push through promotions a lot easier than female managers.,455,51,leadership,,7,,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"respect,interactions",6/10/2020 15:19,I have had inappropriate comments made to me based on my gender as a women.,456,154,manager,,7,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
career,6/10/2020 15:19,White males disproportionally make up the management of *company*. The minorities and females hit a glass ceiling when trying to move up the management ladder. The perception is that minorities and females must work 3X times harder and put in more time at the organization before being permitted to move up the ladder.,457,181,peers,,7,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"skills,career",6/10/2020 15:19,I am consistently passed over for special projects that produce a higher IC or lead to a higher position.,458,145,"manager,leadership",,7,,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"skills,career,life",6/10/2020 15:20,"While being given opportunity for special projects, because base work is not regulated as a result, I end up overwhelmed and feel like I have to pass over interesting additional opportunities.",459,131,"manager,leadership",,7,,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"compensation,career",6/10/2020 15:20,"My particular personality type (introverted and analytical) receives less recognition than outspoken and assertive individuals. The ""goals"" for our group seem to try to mold individuals into a particular type of person rather than value the diverse skill sets that exist on my team. Those who are promoted are prototypes of the white males who lead my group.",460,59,"manager,leadership,hr",,7,,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
access,6/10/2020 15:20,Minority religious events do not always get the same recognition.,461,51,peers,,7,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"access,skills,learning,compensation,career,life,recognition,respect,interactions",6/10/2020 15:21,"It‚'s incredibly difficult to share details when I have lost trust... I believe that the numbers will tell you. How many employees have never been promoted? At the same pay grade level. Gender? Race? Why? 

Managers provide one lens to their superiors and HR. How can leaders get the truth? How can employees feel safe?",462,64,"manager,leadership,policy,hr,peers",,7,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
career,6/10/2020 15:21,Because I am an older employee I am often overlooked for special opportunities,463,192,manager,,7,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"life,recognition,respect",6/10/2020 15:21,The supporting staff do not get the same work life balance as everyone in the company. They get less work from home days. On *company* Volunteer days the lower level staff needs to use personal time or make up the time if the event is less then 8 hours.  Everyone else gets to go home and do not need to make up the time which discourages the supporting staff to volunteer.,464,160,leadership,,7,,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"career,respect,interactions",6/10/2020 15:21,"I agree, if you do not go to happy hour or do outside social activities with management, then you will NOT get a promotion.",465,145,manager,,7,,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
life,6/10/2020 15:23,I am married with no children - I feel that I am treated differently and get little empathy for my household issues and obligations,467,192,"manager,leadership",,7,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"compensation,career,life",6/10/2020 15:23,"I feel like because I am a lower level employee, I have to complete and volunteer for work more (including extracurricular activity/projects) to get promoted, even though it seems like I'm doing similar work as some higher level employees who completed less work and are not volunteering for extra work or projects.",468,81,"manager,leadership",,7,,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
"career,recognition,respect",6/10/2020 15:24,"When you look at the make up of the executives at *company*, it appears like they are more alike (white males) to each other than diversified. 
I have put a great deal of effort into my career here at *company* and have been passed over for promotions multiple times, yet watch as others, that appear to have a more consistent look to those at the top, get promotions in half the time or less.
I still feel like *company* is a great place to work, but have given up believing I will get a leadership promotion ever. 
I have resigned myself to just be a 40hr a week worker and will not be going above and beyond as I did for the first six years.",469,47,leadership,,7,,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"skills,learning,compensation,recognition,respect",6/10/2020 15:24,I asked several times why I was not being promoted to the next level. However my manager could not tell me what I needed to do to get promoted. He would say just keep doing what you're doing and your work is fine. I felt very discouraged and unmotivated. I was finally promoted along with several others who were not necessarily deserving of a promotion. I felt like they just promoted everyone because we were all complaining.,470,154,"manager,leadership,hr",,7,,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0
compensation,6/10/2020 15:25,Grade levels need to be abolished at *company*.  The broker-dealer community in which we service does not have this type of structure- only the federal government.  If I am going to be stuck at a grade level than I should have a pension just like other federal employees.  Grade levels buttonhole employees.,471,192,"policy,hr",,7,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
skills,6/10/2020 14:50,Asked to complete tasks that are so simple that I do not feel challenged.,216,179,manager,,7,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
skills,6/10/2020 15:26,"As a woman, I have been pressured into party planning activities for years. This has nothing to do with my job, yet it's continually mentioned in my performance evaluation. I am no more qualified to plan parties than any of the men in the office. I am excellent at my job and feel degraded when managers value housekeeping work over the regulatory value I bring to *company*.",473,67,"manager,leadership",,7,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
career,6/10/2020 15:27,Grade levels prevent employees to expand their experiences.  Example:I am a 47 with 30 years of Wall Street experience but my department would never permit me to speak at an industry conference even though I have more experience than my managers and leadership people.,474,192,"manager,leadership",,7,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"learning,compensation,career,respect",6/10/2020 15:28,"I have felt many times that I was not promoted faster or given opportunities earlier, because I look young for my age. I have always consistently asked for opportunities and volunteer to help others when I have availability.",475,81,"manager,leadership",,7,,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0
"access,interactions",6/10/2020 15:29,"My department has working groups that discuss and implement things such as communications, diversity a inclusion and culture. However, each group is lead by or has heavy participation from the department management team.  The only ideas that are implemented or those that appeal to management. I no longer have a desire to contribute my time or energy because it is not valued. The biggest negative is that lack of participation in these groups labels you as disengaged.",477,103,"manager,leadership",,7,,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
interactions,6/10/2020 15:31,"During this pandemic, I was amazed how tone deaf my counterparts in Rockville are.  I live in NYC and not one person whether it was a peer or management including senior management asked me or my colleagues how we were surviving watching the number of deaths on a daily basis.  I gave up participating in ""coffee breaks"" and other Zoom meetings.",478,192,manager,,7,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
respect,6/10/2020 15:34,"In the past, I have not always been included in relevant conversations or meetings and at times my opinions are ignored or not valued, and I have been talked over, as if I am not in the room, despite my knowledge, experience, and expertise.

Likewise, in meetings with firms sometimes people are conditioned to defer to people that look like them.  As a result, I end up spoon feeding jr. examiners & managers answers so that they can answer questions, while I sit on the sidelines.",479,141,leadership,,7,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
interactions,6/10/2020 15:34,"My department is located in Rockville although there is a handful of us that work in NYC. It is amazing how during calls that complained about not being able to walk down the hall to visit each other in their offices.  Once again, not remembering or recognizing that some of us don't have that luxury. This is disappointing considering some of the comments were made by senior management.  So what are we to think? That Todd will close the NYC office?? interesting....",480,192,leadership,,7,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"career,respect",6/10/2020 15:34,"The senior managers in my group who are young-ish, white, male, and from what I understand, upper middle class, have no incentive to include others unlike them as they are insulated and comfortable at the top. These men are regarded highly by the organization and are knowledgeable about the relevant subject matter of the work they do, which reinforcing the unlikeliness of a leadership shuffle.  When my senior managers do try to address issues (such as the recent unrest and police violence), it feels forced, superficial, and frankly uncomfortable. Even though they do try, their ignorance and lack of self awareness is burdensome and frustrating. The individual *company* recently hired to supervise at the very top of the umbrella in my department is literally the same type of person (young-ish, white, male). When will others who don't look like them or who have had different life experiences than them have an opportunity to advance and receive recognition? It feels like never. *company* is a product of its own making in this regard.",481,59,"manager,leadership,hr",,7,,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"access,career",6/10/2020 15:35,"In almost every meeting of 10+ people I have attended in the last few years, I have counted the number of men and women attending. Men generally represent 70-80% of any gathering while women comprise only about 20-30%. This is at all levels and departments. There is no inherent reason for this overweighting, which makes me believe that there is a systemic male bias in hiring and promotion. When you look at the VP level and higher, it is almost all men, almost all of whom are white. Women need to be better represented at all levels.",482,175,"leadership,policy,hr",,7,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"respect,interactions",6/10/2020 15:35,"One time I overheard a male manager tell a female employee to ""smile"" as she walked down the hall. This is a common phenomenon women experience from strangers while walking down the street. Women should not have to deal with this in the office. This same male manager challenges women's views in meetings but agrees with men who make the exact same points. He has been in charge of a *company* office location for years and many of his former female subordinates have transferred to other internal groups or office locations. The behavior is subtle enough that escalating to HR would not be appropriate, but it's just enough for women to feel marginalized.",483,67,leadership,,7,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
career,6/10/2020 15:37,*company* is like the US military - there is little room at the top so getting recognized or promoted is way too difficult. It's a great place to park time until one finds a new job in the industry or plans to retire.  Certain departments people got better titles and promotions that don't do the job that I currently perform.,484,192,leadership,,7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
access,6/10/2020 15:37,I experienced being advised by a manager to not to speak to an employee directly but communicate through another employee so that I do not upset them.,485,195,"manager,peers",,7,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"career,respect",6/10/2020 15:38,"The senior managers in my group who are young-ish, white, male, and from what I understand, upper middle class, have no incentive to include others unlike them as they are insulated and comfortable at the top. These men are regarded highly by the organization and are knowledgeable about the relevant subject matter of the work they do, which reinforces the unlikeliness of a leadership shuffle. When my senior managers do try to address issues (such as the recent unrest and police violence), it feels forced, superficial, and frankly uncomfortable. Even though they do try, their ignorance and lack of self awareness is burdensome and frustrating. The individual *company* recently hired to supervise at the very top of the umbrella in my department is literally the same type of person (young-ish, white, male). When will others who don't look like them or who have had different life experiences than them have an opportunity to advance and receive recognition? It feels like never. *company* is a product of its own making in this regard.
Okay to anonymously refer to this experience during the workshop",486,59,"manager,leadership,hr",,7,,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
respect,6/10/2020 15:42,"In order to get ahead, one has to act and dress like their manager.  I was put an uncomfortable position when my department head noticed my luxury handbag on a trip.  I had to remind her that it was my husband's ""right"" to give me this gift.  I also hid where I grew up since my manager would be prejudiced against me (well known suburb on NYC) and so I have misled my colleagues to avoid that ""eye roll"".",488,192,"manager,peers",,7,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
